GENESIS-Tabelle: 41261-0012
Schadholzeinschlag: Bundesländer, Jahre, Einschlagsursache,;;;;;;;;;;;;;;;;;;;
Holzartengruppen, Waldeigentumsarten;;;;;;;;;;;;;;;;;;;
Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);;;;;;;;;;;;;;;;;;;
Schadholzeinschlag (1000 cbm);;;;;;;;;;;;;;;;;;;
;;;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
Year;Cause;Tree_type;Owner;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
2009;Insgesamt;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Privatwald;342,4;1380,3;-;2,9;-;-;-;-;124,1;1224,3;34,8;-;1,4;5,5;3,3;87,4
2009;Insgesamt;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Insgesamt;947,0;2276,9;-;8,6;-;0,1;954,3;0,4;171,1;1695,6;200,0;7,5;93,0;49,4;7,9;219,4
2009;Insgesamt;Insgesamt;Staatswald (Bundes- und Landeswald);273,4;793,2;0,2;30,0;-;0,2;545,3;2,8;52,9;311,8;56,3;5,6;91,9;62,3;3,2;103,8
2009;Insgesamt;Insgesamt;Körperschaftswald;490,7;183,3;-;4,6;-;-;572,3;-;11,9;214,0;139,5;2,8;6,9;3,9;6,4;40,4
2009;Insgesamt;Insgesamt;Privatwald;361,0;1737,2;-;17,5;-;-;-;-;174,4;1323,5;35,7;-;1,4;14,3;7,4;92,5
2009;Insgesamt;Insgesamt;Insgesamt;1125,1;2713,6;0,2;52,1;-;0,2;1117,5;2,8;239,2;1849,3;231,4;8,4;100,2;80,5;17,1;236,7
2010;Wind/Sturm;Eiche und Roteiche;Staatswald (Bundes- und Landeswald);1,7;0,3;-;0,9;-;-;14,7;0,0;0,4;0,4;5,0;-;1,9;0,5;-;0,3
2010;Wind/Sturm;Eiche und Roteiche;Körperschaftswald;3,5;3,9;-;0,1;-;-;8,8;-;0,2;0,9;16,4;-;0,8;0,0;0,0;0,1
2010;Wind/Sturm;Eiche und Roteiche;Privatwald;0,3;17,6;-;0,3;-;-;-;0,0;1,7;3,5;1,2;0,6;3,4;0,1;0,0;0,3
2010;Wind/Sturm;Eiche und Roteiche;Insgesamt;5,5;21,8;-;1,3;-;-;23,5;0,0;2,4;4,8;22,6;0,6;6,1;0,6;0,0;0,6
